#Object Name	Name	Description	Skill Type	EP	Momentum	Stance	Damage Type	Formula	Variance / Proc Rate	Text - Actives: first {} = attacker, second {} = defender. Passives: {} = amount	SFX
Attack	Attack	A regular strike against the enemy.	Active	2	1	Normal	HP	attacker.get_atk() - defender.get_pdef() + renpy.random.randint(15,30)	10	{} attacks {}.	sfx/slash.mp3
Enemyattack	Enemy Attack	Version of Attack used by enemies to generate EP. Players should not have this.	Active	4	1	Normal	HP	attacker.get_atk() - defender.get_pdef() + renpy.random.randint(1,3)	10	{} attacks {}.	sfx/slash.mp3
Quickattack	Quick Attack	A quick maneuver to gain momentum over your opponent.	Active	-4	3	Normal	HP	int(round((attacker.get_atk() - defender.get_pdef() + renpy.random.randint(10,25)) / float(3)))	10	{} strikes at {} with great speed.	sfx/slash.mp3
Enemyquickattack	Enemy Quick Attack	Version of Quick Attack used by enemies to that doesn't cost EP. Players should not have this.	Active	2	3	Normal	HP	int(round((attacker.get_atk() - defender.get_pdef() + renpy.random.randint(1,3)) / float(3)))	10	{} strikes at {} with great speed.	sfx/slash.mp3
Guard	Guard	Protects the user and reduces damage taken.	Active	3	-2	Normal	NONE	None	0	{} guards against incoming attacks from {}.	None
Criticalhit	Critical Hit	Damages the enemy with everything you've got.	Active	-7	-3	Normal	HP	(attacker.get_atk() - defender.get_pdef() + renpy.random.randint(5,15)) * 2	10	{} attacks {} with a great amount of power!	sfx/slash.mp3
Rustyedge	Rusty Edge	Damages the enemy with the jagged edge of your weapon.	Active	3	0	Normal	HP	attacker.get_atk() - defender.get_pdef() + renpy.random.randint(0,4)	10	{} attacks {} with Rusty Edge.	sfx/attackhigh.mp3
Silverslash	Silver Slash	A slash imbued with magical power.	Active	-1	1	Normal	HP	attacker.get_atk() - defender.get_mdef() + renpy.random.randint(15,30)	25	{} attacks {} with the magical edge of Silver Slash.	sfx/slash.mp3
Savageattack	Savage Attack	An unrefined but furious attack.	Active	-3	-2	Normal	HP	int(round((attacker.get_atk() - (defender.get_pdef() / float(2)) + renpy.random.randint(1,3)) * 1.5))	10	{} furiously charges at {}.	sfx/slash.mp3
Wildslash	Wild Slash	Swing your weapon wildly and hope you can hit the enemy.	Active	3	1	Normal	HP	int(round((attacker.get_atk() - (defender.get_pdef() * 2) + renpy.random.randint(0,3)) * 3))	10	{} swings wildly against {}.	sfx/slash.mp3
